Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,birth_year_fb,market_value_eur,player_id,dob,age,join_method
nazareno colombo,ar ARG,DF,Racing Club,24,1999,16.9,1,0,0.5,0.3,11,2,690,900,76.67,32,21,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,nazareno colombo,nazareno colombo,racing club,1999,3000000,688207,1999-03-20,26,key+birth_year
nehuen benedetti,ar ARG,MF,Estudiantes–LP,18,2005,0.9,0,0,0.0,0.1,0,0,38,51,74.51,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,nehuen benedetti,nehuen benedetti,estudiantes lp,2005,,,nan,,
nehuen paz,ar ARG,DF,Tigre,30,1993,19.8,1,0,0.4,0.0,9,2,721,902,79.93,22,18,29,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,nehuen paz,nehuen paz,tigre,1993,300000,284724,1993-04-28,32,first+last+birth_year
nelson insfran,ar ARG,GK,Gimnasia–LP,28,1995,9.0,0,0,0.0,0.0,0,0,199,269,73.98,0,0,0,0,11.0,1.22,36.0,25.0,69.4,1.0,11.1,0.0,0.0,0.0,0.0,8.7,0.25,-2.3,-0.26,52.0,116.0,44.8,200.0,45.0,41.5,36.2,12.0,8.5,9.0,1.0,14.8,True,28.0,nelson insfran,nelson insfran,gimnasia lp,1995,1000000,660280,1995-05-24,30,first+last+birth_year
nery dominguez,ar ARG,"DF,MF",Lanús,33,1990,11.0,0,0,0.0,0.1,3,0,470,584,80.48,17,9,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,nery dominguez,nery dominguez,lanus,1990,200000,267413,1990-04-09,35,first+last+birth_year
nestor breitenbruch,ar ARG,DF,Atlé Tucumán,28,1995,10.4,1,0,0.7,0.1,8,3,320,449,71.27,27,18,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,nestor breitenbruch,nestor breitenbruch,atle tucuman,1995,,,nan,,
nicolas benegas,ar ARG,FW,Deportivo Riestra,27,1996,10.5,3,3,2.1,2.1,29,6,108,228,47.37,10,7,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,nicolas benegas,nicolas benegas,deportivo riestra,1996,600000,438926,1996-03-01,29,first+last+birth_year
nicolas blandi,ar ARG,FW,Defensa y Just,34,1990,0.5,0,0,0.0,0.0,0,0,6,9,66.67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,nicolas blandi,nicolas blandi,defensa y justicia,1990,25000,153022,1990-01-13,35,first+last+birth_year
nicolas capraro,ar ARG,DF,Barracas Central,25,1998,23.4,0,0,0.6,0.2,10,2,653,867,75.32,37,21,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,nicolas capraro,nicolas capraro,barracas central,1998,500000,992818,1998-03-03,27,key+birth_year
nicolas caro,ar ARG,DF,Deportivo Riestra,28,1995,20.1,1,0,1.1,0.3,12,4,192,333,57.66,12,7,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,nicolas caro,nicolas caro,deportivo riestra,1995,,,nan,,
nicolas castro,ar ARG,MF,Atlé Tucumán,33,1990,4.0,0,0,0.1,0.8,5,1,104,159,65.41,22,13,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,nicolas castro,nicolas castro,atle tucuman,1990,,,nan,,
nicolas colazo,ar ARG,"DF,MF",Gimnasia–LP,33,1990,16.1,1,1,0.3,1.2,7,1,507,736,68.89,36,23,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,nicolas colazo,nicolas colazo,gimnasia lp,1990,75000,116277,1990-07-08,35,first+last+birth_year
nicolas cordero,ar ARG,"FW,MF",Arg Juniors,24,1999,2.1,0,0,1.1,0.6,8,0,38,68,55.88,3,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,nicolas cordero,nicolas cordero,arg juniors,1999,500000,652948,1999-04-11,26,first+last+birth_year
nicolas demartini,ar ARG,DF,Barracas Central,24,1999,15.6,1,0,0.7,0.1,6,4,360,475,75.79,33,21,30,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,nicolas demartini,nicolas demartini,barracas central,1999,800000,537257,1999-11-04,25,key+birth_year
nicolas dematei,ar ARG,DF,Deportivo Riestra,36,1987,2.5,0,0,0.2,0.0,3,0,25,56,44.64,1,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0,nicolas dematei,nicolas dematei,deportivo riestra,1987,,,nan,,
nicolas dubersarsky,ar ARG,MF,Instituto,19,2004,20.1,0,1,0.1,0.2,4,0,551,683,80.67,50,34,38,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,nicolas dubersarsky,nicolas dubersarsky,instituto,2004,,,nan,,
nicolas fernandez,ar ARG,"FW,MF",Belgrano,27,1996,12.2,5,3,3.1,1.9,34,11,205,292,70.21,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,nicolas fernandez,nicolas fernandez,belgrano,1996,4000000,333921,1996-02-08,29,key+birth_year
nicolas fonseca,uy URU,MF,River Plate,25,1998,6.2,0,0,0.1,0.1,4,1,363,432,84.03,24,17,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,nicolas fonseca,nicolas fonseca,river plate,1998,,,nan,,
nicolas gaitan,ar ARG,"MF,FW",Sarmiento,35,1988,14.3,1,2,1.4,2.6,15,1,330,563,58.61,24,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0,nicolas gaitan,nicolas gaitan,sarmiento,1988,,,nan,,
nicolas garayalde,ar ARG,MF,Gimnasia–LP,24,1999,14.2,0,0,0.4,0.5,11,2,472,633,74.57,67,47,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,nicolas garayalde,nicolas garayalde,gimnasia lp,1999,700000,744282,1999-07-21,26,first+last+birth_year
nicolas hernandez,co COL,DF,Banfield,26,1998,14.5,0,0,0.0,0.2,1,0,416,518,80.31,14,10,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,nicolas hernandez,nicolas hernandez,banfield,1998,,,nan,,
nicolas meriano,ar ARG,DF,Belgrano,23,2000,5.3,0,0,0.4,0.2,7,1,234,326,71.78,14,6,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,nicolas meriano,nicolas meriano,belgrano,2000,450000,941511,2000-11-09,24,first+last+birth_year
nicolas morgantini,ar ARG,DF,Lanús,29,1994,11.8,0,1,0.5,1.0,8,1,337,465,72.47,20,14,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,nicolas morgantini,nicolas morgantini,lanus,1994,375000,615253,1994-09-11,31,key+birth_year
nicolas oroz,ar ARG,"MF,FW",Arg Juniors,29,1994,16.6,2,0,0.9,1.6,23,7,565,776,72.81,33,17,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,nicolas oroz,nicolas oroz,arg juniors,1994,800000,332250,1994-04-01,31,first+last+birth_year
nicolas orsini,ar ARG,FW,Unión,29,1994,17.1,4,2,6.3,2.1,45,16,225,367,61.31,15,9,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,nicolas orsini,nicolas orsini,union,1994,600000,289149,1994-09-12,31,first+last+birth_year
nicolas palavecino,ar ARG,"FW,MF",Defensa y Just,20,2003,7.2,0,1,1.5,0.7,14,3,157,209,75.12,20,10,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,nicolas palavecino,nicolas palavecino,defensa y justicia,2003,200000,912504,2003-03-29,22,first+last+birth_year
nicolas paz,ar ARG,DF,Unión,21,2002,16.4,0,0,0.4,0.0,7,0,507,707,71.71,33,26,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,nicolas paz,nicolas paz,union,2002,800000,991132,2002-10-16,23,key+birth_year
nicolas quagliata,uy URU,"FW,MF",Cen. Córdoba–SdE,24,1999,1.3,0,0,0.4,0.2,3,2,57,79,72.15,3,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,nicolas quagliata,nicolas quagliata,cen cordoba sde,1999,,,nan,,
nicolas romero,ar ARG,DF,Atlé Tucumán,20,2003,23.7,0,0,0.9,0.2,17,6,531,849,62.54,30,17,47,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,nicolas romero,nicolas romero,atle tucuman,2003,,,nan,,
nicolas sanchez,ar ARG,FW,Gimnasia–LP,19,2004,0.1,0,0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,nicolas sanchez,nicolas sanchez,gimnasia lp,2004,,,nan,,
nicolas sansotre,ar ARG,DF,Deportivo Riestra,30,1993,24.9,0,2,0.2,0.6,5,1,353,581,60.76,33,23,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,nicolas sansotre,nicolas sansotre,deportivo riestra,1993,200000,441341,1993-09-08,32,first+last+birth_year
nicolas servetto,ar ARG,"FW,DF",Atlé Tucumán,27,1996,0.3,0,0,0.1,0.0,1,0,8,11,72.73,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,nicolas servetto,nicolas servetto,atle tucuman,1996,,,nan,,
nicolas sumavil,ar ARG,GK,Platense,24,1999,1.0,0,0,0.0,0.0,0,0,5,17,29.41,0,0,0,0,0.0,0.0,2.0,2.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.3,0.14,0.3,0.28,5.0,17.0,29.4,10.0,0.0,100.0,55.9,1.0,11.1,0.0,0.0,8.5,True,24.0,nicolas sumavil,nicolas sumavil,platense,1999,,,nan,,
nicolas tolosa,ar ARG,DF,Barracas Central,22,2001,2.0,0,0,0.0,0.0,1,0,69,95,72.63,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,nicolas tolosa,nicolas tolosa,barracas central,2001,,,nan,,
nicolas tripichio,ar ARG,"DF,MF",San Lorenzo,28,1996,7.6,0,1,0.0,0.6,2,1,261,345,75.65,18,10,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,nicolas tripichio,nicolas tripichio,san lorenzo,1996,1500000,275614,1996-01-05,29,key+birth_year
nicolas vallejo,ar ARG,"MF,FW",Independiente,20,2004,1.9,0,0,0.1,0.0,5,0,44,59,74.58,2,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,nicolas vallejo,nicolas vallejo,independiente,2004,,,nan,,
norberto briasco,am ARM,"MF,FW",Boca Juniors,27,1996,0.5,0,0,0.0,0.0,0,0,5,9,55.56,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,norberto briasco,norberto briasco,boca juniors,1996,200000,457218,1996-02-29,29,first+last+birth_year
octavio ontivero,ar ARG,DF,Lanús,18,2006,2.3,0,0,0.0,0.0,0,0,82,109,75.23,7,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,octavio ontivero,octavio ontivero,lanus,2006,200000,1000668,2006-01-10,19,key+birth_year
orlando gill,py PAR,GK,San Lorenzo,23,2000,1.0,0,0,0.0,0.0,0,0,20,28,71.43,0,0,0,0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.36,0.1,0.09,3.0,11.0,27.3,15.0,4.0,20.0,29.2,1.0,7.1,0.0,0.0,4.5,True,23.0,orlando gill,orlando gill,san lorenzo,2000,5000000,643259,2000-06-11,25,key+birth_year
oscar arias,ar ARG,DF,San Lorenzo,19,2005,6.1,0,0,0.2,0.1,3,1,211,296,71.28,19,10,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,oscar arias,oscar arias,san lorenzo,2005,,,nan,,
oscar garrido,ar ARG,"DF,MF",Cen. Córdoba–SdE,26,1997,3.6,0,0,0.0,0.2,0,0,127,150,84.67,5,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,oscar garrido,oscar garrido,cen cordoba sde,1997,,,nan,,
oscar salomon,ar ARG,"DF,FW",Platense,24,1999,1.2,0,0,0.0,0.0,0,0,12,23,52.17,2,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,oscar salomon,oscar salomon,platense,1999,2500000,698323,1999-03-22,26,key+birth_year
pablo altamirano,ar ARG,MF,Newell's OB,19,2005,1.6,0,0,0.0,0.1,2,2,67,81,82.72,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,pablo altamirano,pablo altamirano,newell s ob,2005,50000,1291795,2005-01-30,20,first+last+birth_year
pablo chavarria,ar ARG,FW,Belgrano,36,1988,6.7,2,0,3.2,0.7,13,7,105,166,63.25,6,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0,pablo chavarria,pablo chavarria,belgrano,1988,,,nan,,
pablo de blasis,ar ARG,"MF,FW",Gimnasia–LP,35,1988,14.2,2,0,3.9,1.4,14,5,530,733,72.31,28,17,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0,pablo de blasis,pablo blasis,gimnasia lp,1988,,,nan,,
pablo monje,ar ARG,MF,Deportivo Riestra,26,1997,22.3,0,2,0.2,1.3,7,1,348,624,55.77,50,33,34,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,pablo monje,pablo monje,deportivo riestra,1997,250000,992605,1997-02-06,28,first+last+birth_year
pablo piatti,ar ARG,"FW,MF",Estudiantes–LP,34,1989,10.4,2,1,1.8,1.8,22,10,247,375,65.87,26,19,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,pablo piatti,pablo piatti,estudiantes lp,1989,,,nan,,
pablo siles,uy URU,MF,Huracán,26,1997,3.0,0,1,0.0,0.6,0,0,93,118,78.81,7,7,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,pablo siles,pablo siles,huracan,1997,,,nan,,
pablo solari,ar ARG,FW,River Plate,22,2001,16.5,6,1,5.1,4.1,49,21,321,500,64.2,18,11,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,pablo solari,pablo solari,river plate,2001,,,nan,,
patricio pernicone,ar ARG,DF,Vélez Sarsfield,22,2001,6.2,0,0,0.0,0.0,1,0,212,252,84.13,5,3,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,patricio pernicone,patricio pernicone,velez sarsfield,2001,,,nan,,
patricio tanda,ar ARG,"MF,DF",Unión,21,2002,2.7,0,0,0.0,0.5,3,0,133,161,82.61,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,patricio tanda,patricio tanda,union,2002,,,nan,,
paulo diaz,cl CHI,DF,River Plate,29,1994,20.3,2,0,1.1,1.0,21,6,1387,1590,87.23,25,17,13,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,paulo diaz,paulo diaz,river plate,1994,4000000,271478,1994-08-25,31,key+birth_year
pedro ramirez,ar ARG,"DF,MF",Deportivo Riestra,23,2000,20.4,0,1,1.3,1.9,19,6,314,579,54.23,51,38,36,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,pedro ramirez,pedro ramirez,deportivo riestra,2000,600000,832088,2000-04-04,25,first+last+birth_year
pedro velurtas,ar ARG,DF,Barracas Central,22,2001,5.6,0,0,0.1,0.1,4,1,180,255,70.59,11,5,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,pedro velurtas,pedro velurtas,barracas central,2001,,,nan,,
pier barrios,ar ARG,DF,Godoy Cruz,33,1990,21.0,0,0,0.2,0.1,6,3,629,835,75.33,25,18,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,pier barrios,pier barrios,godoy cruz,1990,,,nan,,
rafael barrios,ar ARG,"DF,MF",Cen. Córdoba–SdE,30,1993,17.3,1,1,2.0,1.1,16,3,665,937,70.97,46,30,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,rafael barrios,rafael barrios,cen cordoba sde,1993,100000,334057,1993-05-23,32,first+last+birth_year
rafael ferrario,ar ARG,GK,Barracas Central,23,2000,8.0,0,0,0.0,0.0,0,0,116,221,52.49,0,0,0,0,8.0,1.0,28.0,21.0,71.4,2.0,25.0,0.0,0.0,0.0,0.0,7.6,0.28,0.6,0.08,66.0,169.0,39.1,147.0,23.0,70.1,49.9,10.0,6.7,6.0,0.75,11.4,True,23.0,rafael ferrario,rafael ferrario,barracas central,2000,,,nan,,
rafael marcelo delgado,ar ARG,DF,Belgrano,34,1990,14.7,0,1,0.0,0.6,0,0,461,625,73.76,29,20,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,rafael marcelo delgado,rafael delgado,belgrano,1990,100000,167314,1990-01-13,35,first+last+birth_year
rafael profini,ar ARG,"DF,FW",Unión,20,2003,0.1,0,0,0.0,0.0,0,0,7,10,70.0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,rafael profini,rafael profini,union,2003,1000000,1158799,2003-09-09,22,key+birth_year
ramiro carrera,ar ARG,"FW,MF",Lanús,30,1993,12.7,1,1,2.4,1.0,38,6,306,447,68.46,26,13,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,ramiro carrera,ramiro carrera,lanus,1993,1000000,282283,1993-10-24,31,key+birth_year
ramiro degregorio,ar ARG,MF,Racing Club,20,2003,0.2,0,0,0.0,0.0,0,0,3,4,75.0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,ramiro degregorio,ramiro degregorio,racing club,2003,300000,1133078,2003-02-06,22,key+birth_year
ramiro di luciano,ar ARG,DF,Banfield,20,2004,11.8,0,1,0.2,1.4,5,0,248,415,59.76,28,19,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,ramiro di luciano,ramiro luciano,banfield,2004,,,nan,,
ramiro funes mori,ar ARG,DF,River Plate,32,1991,1.7,0,0,0.0,0.0,0,0,88,104,84.62,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,ramiro funes mori,ramiro mori,river plate,1991,125000,11111,1991-03-05,34,first+last+birth_year
ramiro hernandes,ar ARG,"MF,DF",Belgrano,19,2004,1.8,1,0,0.1,0.0,1,1,45,68,66.18,6,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,ramiro hernandes,ramiro hernandes,belgrano,2004,25000,1273494,2004-11-19,20,key+birth_year
ramiro macagno,ar ARG,GK,Newell's OB,26,1997,13.2,0,0,0.0,0.0,0,0,274,401,68.33,1,1,0,1,23.0,1.75,59.0,36.0,62.7,3.0,23.1,1.0,1.0,0.0,0.0,17.5,0.28,-5.5,-0.42,65.0,183.0,35.5,326.0,62.0,44.2,38.3,10.0,5.6,18.0,1.37,16.3,True,26.0,ramiro macagno,ramiro macagno,newell s ob,1997,,,nan,,
ramiro ruiz,ar ARG,"FW,MF",Talleres,23,2000,4.6,0,0,1.4,0.6,10,3,49,77,63.64,3,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,ramiro ruiz,ramiro ruiz,talleres,2000,,,nan,,
ramon abila,ar ARG,FW,Huracán,34,1989,8.2,0,0,2.2,0.7,15,2,97,162,59.88,2,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,ramon abila,ramon abila,huracan,1989,150000,88049,1989-10-14,36,key+birth_year
ramon arias,uy URU,DF,Tigre,31,1992,7.4,0,1,0.2,0.0,4,3,294,357,82.35,8,7,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,ramon arias,ramon arias,tigre,1992,250000,131095,1992-07-27,33,key+birth_year
ramon cansinos,ar ARG,"MF,FW",Cen. Córdoba–SdE,21,2002,2.2,0,0,0.0,0.0,2,0,39,59,66.1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,ramon cansinos,ramon cansinos,cen cordoba sde,2002,75000,1029003,2002-10-23,22,first+last+birth_year
ramon sosa,py PAR,FW,Talleres,24,1999,2.2,2,1,0.1,0.2,3,2,37,58,63.79,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,ramon sosa,ramon sosa,talleres,1999,,,nan,,
randall rodriguez,uy URU,GK,Vélez Sarsfield,20,2003,1.0,0,0,0.0,0.0,0,0,31,39,79.49,0,0,0,0,0.0,0.0,2.0,2.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.2,0.11,0.2,0.23,6.0,13.0,46.2,28.0,6.0,28.6,27.4,0.0,0.0,1.0,1.0,18.5,True,20.0,randall rodriguez,randall rodriguez,velez sarsfield,2003,,,nan,,
raul loaiza,co COL,MF,Lanús,29,1994,9.4,0,0,0.4,0.1,6,2,294,351,83.76,18,9,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,raul loaiza,raul loaiza,lanus,1994,800000,260898,1994-06-08,31,key+birth_year
renzo tesuri,ar ARG,"MF,DF",Atlé Tucumán,27,1996,23.4,6,3,5.9,2.5,30,9,486,730,66.58,50,34,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,renzo tesuri,renzo tesuri,atle tucuman,1996,1300000,457666,1996-06-07,29,first+last+birth_year
roberto nicolas fernandez,uy URU,MF,Godoy Cruz,25,1998,14.1,2,2,1.5,1.2,18,5,444,630,70.48,25,15,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,roberto nicolas fernandez,roberto fernandez,godoy cruz,1998,,,nan,,
roberto ramirez,ar ARG,GK,Godoy Cruz,27,1996,1.0,0,0,0.0,0.0,0,0,31,39,79.49,0,0,0,0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.32,0.3,0.28,7.0,12.0,58.3,38.0,3.0,31.6,31.8,1.0,9.1,3.0,3.0,20.6,True,27.0,roberto ramirez,roberto ramirez,godoy cruz,1996,,,nan,,
rodrigo aliendro,ar ARG,MF,River Plate,32,1991,5.7,0,0,0.9,0.9,9,2,269,333,80.78,14,11,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,rodrigo aliendro,rodrigo aliendro,river plate,1991,500000,424045,1991-02-16,34,first+last+birth_year
rodrigo atencio,ar ARG,"MF,FW",Cen. Córdoba–SdE,21,2002,20.2,4,1,3.8,1.4,44,12,709,910,77.91,27,17,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,rodrigo atencio,rodrigo atencio,cen cordoba sde,2002,,,nan,,
rodrigo bogarin,py PAR,"MF,FW",Defensa y Just,26,1997,10.0,1,0,0.7,0.9,21,7,377,510,73.92,24,19,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,rodrigo bogarin,rodrigo bogarin,defensa y justicia,1997,,,nan,,
rodrigo cabral,ar ARG,FW,Huracán,23,2000,15.4,2,1,1.5,0.7,27,11,277,436,63.53,37,22,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,rodrigo cabral,rodrigo cabral,huracan,2000,600000,709552,2000-08-08,25,key+birth_year
rodrigo castillo,ar ARG,FW,Gimnasia–LP,24,1999,25.9,6,2,8.6,2.3,65,19,497,710,70.0,19,12,33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,rodrigo castillo,rodrigo castillo,gimnasia lp,1999,2000000,984416,1999-02-26,26,first+last+birth_year
rodrigo cavallera,ar ARG,"FW,DF",Deportivo Riestra,24,2000,0.6,0,0,0.0,0.0,1,1,5,9,55.56,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,rodrigo cavallera,rodrigo cavallera,deportivo riestra,2000,,,nan,,
rodrigo echeverria,cl CHI,MF,Huracán,28,1995,23.9,3,1,2.0,1.5,22,10,792,1023,77.42,58,46,34,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,rodrigo echeverria,rodrigo echeverria,huracan,1995,,,nan,,
rodrigo fernandez,uy URU,MF,Newell's OB,28,1996,16.4,0,0,0.3,0.3,12,1,570,753,75.7,52,40,27,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,rodrigo fernandez,rodrigo fernandez,newell s ob,1996,,,nan,,
rodrigo gallo,ar ARG,"DF,MF",Gimnasia–LP,23,2000,5.4,0,0,0.2,0.1,4,0,192,283,67.84,12,9,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,rodrigo gallo,rodrigo gallo,gimnasia lp,2000,300000,852747,2000-11-04,24,first+last+birth_year
rodrigo herrera,ar ARG,MF,Barracas Central,23,2000,17.3,0,2,0.4,0.2,7,1,453,622,72.83,72,43,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,rodrigo herrera,rodrigo herrera,barracas central,2000,2000000,842141,2000-08-02,25,first+last+birth_year
rodrigo inaki melo,ar ARG,MF,Atlé Tucumán,28,1995,2.0,0,0,0.0,0.0,0,0,57,82,69.51,8,4,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,rodrigo inaki melo,rodrigo melo,atle tucuman,1995,,,nan,,
rodrigo insua,ar ARG,"DF,MF",Barracas Central,26,1997,24.9,3,1,1.7,3.1,22,5,713,1113,64.06,45,34,33,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,rodrigo insua,rodrigo insua,barracas central,1997,1500000,721235,1997-12-16,27,key+birth_year
rodrigo marquez,ar ARG,FW,Platense,21,2002,0.1,0,0,0.0,0.0,0,0,2,3,66.67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,rodrigo marquez,rodrigo marquez,platense,2002,150000,909735,2002-02-15,23,key+birth_year
rodrigo perez,uy URU,MF,Instituto,27,1996,0.6,0,0,0.3,0.2,1,1,19,28,67.86,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,rodrigo perez,rodrigo perez,instituto,1996,,,nan,,
rodrigo pineiro,uy URU,"FW,MF",Vélez Sarsfield,24,1999,0.8,0,0,0.7,0.0,2,2,22,35,62.86,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,rodrigo pineiro,rodrigo pineiro,velez sarsfield,1999,,,nan,,
rodrigo rey,ar ARG,GK,Independiente,32,1991,27.0,0,0,0.0,0.0,0,0,582,823,70.72,2,2,0,0,17.0,0.63,81.0,63.0,81.5,15.0,55.6,3.0,2.0,1.0,0.0,23.1,0.26,6.1,0.22,152.0,368.0,41.3,596.0,92.0,44.6,37.4,31.0,8.6,16.0,0.59,12.2,True,32.0,rodrigo rey,rodrigo rey,independiente,1991,1500000,166591,1991-03-08,34,key+birth_year
